team,code,elo
Spain,ESP,2129
Argentina,ARG,2128
France,FRA,2084
England,ENG,2055
Colombia,COL,1998
Brazil,BRA,1986
Netherlands,NED,1972
Portugal,POR,1967
Germany,GER,1954
Norway,NOR,1929
Japan,JPN,1925
Mexico,MEX,1896
Switzerland,SUI,1885
Croatia,CRO,1881
Belgium,BEL,1879
Uruguay,URU,1870
Morocco,MAR,1866
Ecuador,ECU,1864
Austria,AUT,1857
Senegal,SEN,1839
United States,USA,1820
Paraguay,PAR,1816
Türkiye,TUR,1813
Australia,AUS,1799
Canada,CAN,1777
South Korea,KOR,1771
Scotland,SCO,1768
Algeria,ALG,1759
Iran,IRN,1756
Côte d'Ivoire,CIV,1728
Sweden,SWE,1727
Egypt,EGY,1711
Uzbekistan,UZB,1698
Czech Republic,CZE,1696
Panama,PAN,1683
Congo DR,COD,1674
Jordan,JOR,1653
Cape Verde Islands,CPV,1606
Saudi Arabia,KSA,1598
Bosnia-Herzegovina,BIH,1596
Iraq,IRQ,1592
New Zealand,NZL,1578
Tunisia,TUN,1570
Ghana,GHA,1557
Haiti,HAI,1528
South Africa,RSA,1527
Curaçao,CUW,1453
Qatar,QAT,1437
